SymbolSet,Entity,EntityType,EntitySubType,Code,GeometryType
30,Civilian,Merchant Ship,Hovercraft,140107,POINT
30,Civilian,Merchant Ship,Lash Carrier (with Barges),140108,POINT
30,Civilian,Merchant Ship,Oiler/Tanker,140109,POINT
30,Civilian,Merchant Ship,Passenger,140110,POINT
30,Civilian,Merchant Ship,Tug- Ocean Going,140111,POINT
30,Civilian,Merchant Ship,Tow,140112,POINT
30,Civilian,Merchant Ship,Transport Ship- Hazardous Material,140113,POINT
30,Civilian,Merchant Ship,Junk/Dhow,140114,POINT
30,Civilian,Merchant Ship,Barge- Not Self-Propelled,140115,POINT
30,Civilian,Merchant Ship,Hospital Ship,140116,POINT
30,Civilian,Fishing Vessel,,140200,POINT
30,Civilian,Fishing Vessel,Drifter,140201,POINT
30,Civilian,Fishing Vessel,Trawler,140202,POINT
30,Civilian,Fishing Vessel,Dredger,140203,POINT
30,Civilian,Law Enforcement Vessel,,140300,POINT
30,Civilian,Leisure Craft- Sailing,,140400,POINT
30,Civilian,Leisure Craft- Motorized,,140500,POINT
30,Civilian,Leisure Craft- Motorized,Rigid-Hull Inflatable Boat (RHIB),140501,POINT
30,Civilian,Leisure Craft- Motorized,Speedboat,140502,POINT
30,Civilian,Jet Ski,,140600,POINT
30,Civilian,Unmanned Surface Water Vehicle (USV),,140700,POINT
30,Own Ship,,,150000,POINT
30,Fused Track,,,160000,POINT
30,Manual Track,,,170000,POINT
